Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	diversification	lambda	mole_branch_rate_mean	mole_branch_rates[1]	mole_branch_rates[2]	mole_branch_rates[3]	mole_branch_rates[4]	mole_branch_rates[5]	mole_branch_rates[6]	mole_branch_rates[7]	mole_branch_rates[8]	mole_branch_rates[9]	mole_branch_rates[10]	mole_branch_rates[11]	mole_branch_rates[12]	mole_branch_rates[13]	mole_branch_rates[14]	mole_branch_rates[15]	mole_branch_rates[16]	mole_branch_rates[17]	mole_branch_rates[18]	mole_branch_rates[19]	mole_branch_rates[20]	mole_branch_rates[21]	mole_branch_rates[22]	mole_clock_rate_mean	mole_clock_rate_sd	mole_proportional_rates[1]	mole_proportional_rates[2]	mole_proportional_rates[3]	mole_relative_rates[1]	mole_relative_rates[2]	mole_relative_rates[3]	morph_branch_rates[1]	morph_branch_rates[2]	morph_branch_rates[3]	morph_branch_rates[4]	morph_branch_rates[5]	morph_branch_rates[6]	morph_branch_rates[7]	morph_branch_rates[8]	morph_branch_rates[9]	morph_branch_rates[10]	morph_branch_rates[11]	morph_branch_rates[12]	morph_branch_rates[13]	morph_branch_rates[14]	morph_branch_rates[15]	morph_branch_rates[16]	morph_branch_rates[17]	morph_branch_rates[18]	morph_branch_rates[19]	morph_branch_rates[20]	morph_branch_rates[21]	morph_branch_rates[22]	morph_clock_rate	morph_clock_rate_log	morph_site_rate_alpha	morph_site_rates[1]	morph_site_rates[2]	morph_site_rates[3]	morph_site_rates[4]	mu	num_sampled_ancestors	origin_time	psi	relext	t[1]	t[2]	TL
0	-10873.27	-10885.72	12.45252	0.236922	0.684355	0.862661	0.06254204	0.1993269	0.001487704	0.00240007	0.00111071	0.000786006	0.00158529	0.00130031	0.00501091	0.00118207	0.00141336	0.000542364	0.000744162	0.000680379	0.000966626	0.00241931	0.00128778	0.000876041	0.00139129	0.00273335	0.000977009	0.00082991	0.00189232	0.000737839	0.00186239	0.001772199	0.6620661	0.619667	0.0884627	0.291871	1.859	0.265388	0.875612	0.00445549	0.00206192	0.00145914	0.00294293	0.00241389	0.00930223	0.0021944	0.00262375	0.00100684	0.00138146	0.00126305	0.00179444	0.00449121	0.00239063	0.00162628	0.00258278	0.00507418	0.00181372	0.00154064	0.0035129	0.00136972	0.00345733	0.00276177	-5.891884	5.753702	0.530659	0.820039	1.0818	1.5675	0.1367849	0	98.33136	3.542252e-05	0.6862338	45.5198	52.1079	743.642
10	-10871.76	-10882.85	11.09227	0.246708	0.752532	0.866638	0.05167528	0.2062786	0.001280067	0.00109363	0.00103999	0.000448215	0.00226046	0.00144898	0.00519288	0.0010998	0.00102069	0.000554284	0.00104286	0.000965952	0.00216815	0.000746167	0.000243596	0.000444634	0.000875912	0.00173842	0.00103316	0.000978141	0.000539391	0.00170165	0.0015245	0.001686986	0.6620661	0.601149	0.0956734	0.303177	1.80345	0.28702	0.909532	0.00508543	0.004836	0.00208422	0.0105113	0.00673781	0.0241471	0.00511409	0.00474625	0.00257744	0.00484936	0.00449172	0.010082	0.00346971	0.00113273	0.00206756	0.00407302	0.00808372	0.00480422	0.00454839	0.00250819	0.00791274	0.007089	0.005952362	-5.123967	4.60863	0.484963	0.793935	1.08391	1.63719	0.1546033	0	96.39099	4.318719e-05	0.7494879	46.392	52.3219	715.9353
20	-10864.11	-10878.32	14.20409	0.187465	0.429156	0.745163	0.06150443	0.1868952	0.001314807	0.00173146	0.000613256	0.000636968	0.00226046	0.0016662	0.00677621	0.0014807	0.00095757	0.000608221	0.000948554	0.000598515	0.000525159	0.000545745	0.000307008	0.00059322	0.00096551	0.00103642	0.000959622	0.00113172	0.00167775	0.00138099	0.0015245	0.001431701	0.6486497	0.639814	0.0860068	0.274179	1.91944	0.25802	0.822538	0.00411166	0.00145628	0.00151259	0.00536787	0.0039567	0.0160913	0.00351618	0.00227392	0.00144433	0.00225251	0.00142128	0.00124708	0.00129597	0.000729044	0.0014087	0.00229277	0.00246117	0.00227879	0.00268748	0.00398411	0.00327939	0.0036202	0.003122242	-5.769204	2.168332	0.312573	0.671798	1.07368	1.94195	0.1253908	0	97.85583	2.20069e-05	0.6709149	34.8866	52.3219	749.8857
30	-10870.24	-10881.23	10.99737	0.229944	0.381848	0.913527	0.05789956	0.1214209	0.001260036	0.0018579	0.000424659	0.000475641	0.00203892	0.00144155	0.00628332	0.000944788	0.00125214	0.000485869	0.000728289	0.00082104	0.000627774	0.0014151	0.00050381	0.00105377	0.000456468	0.00148822	0.00161039	0.000606278	0.00186465	0.000315649	0.00102457	0.001889395	0.946269	0.606181	0.0934001	0.300419	1.81854	0.2802	0.901257	0.00381655	0.000872345	0.000977073	0.00418839	0.00296126	0.0129074	0.00194081	0.00257218	0.000998085	0.00149607	0.0016866	0.00128959	0.00290693	0.00103494	0.00216469	0.000937688	0.00305715	0.00330811	0.00124543	0.00383042	0.000648414	0.0021047	0.002588399	-5.956716	8.375273	0.6012	0.856504	1.0758	1.4665	0.06352133	0	94.59232	4.690042e-05	0.5231499	40.3103	52.3219	762.1395
40	-10881.86	-10886.69	4.833346	0.25805	0.532842	0.741718	0.06490503	0.1729649	0.001918235	0.00853162	0.000532511	0.000466312	0.00214693	0.00136969	0.00776428	0.000928354	0.000898258	0.000674436	0.00088512	0.000516553	0.00340569	0.00130471	0.00167358	0.000622975	0.00100303	0.00163571	0.000394782	0.00166012	0.0023426	0.000655036	0.00278887	0.001598218	0.7134338	0.59436	0.103399	0.302241	1.78308	0.310197	0.906723	0.0479672	0.00299393	0.00262174	0.0120706	0.00770077	0.043653	0.00521947	0.00505026	0.00379187	0.0049764	0.00290421	0.0191477	0.00733544	0.00940937	0.00350254	0.0056393	0.00919645	0.00221958	0.00933364	0.0131708	0.0036828	0.0156798	0.01078486	-4.529612	6.706839	0.560511	0.836002	1.07964	1.52385	0.1080599	1	98.98959	5.940457e-05	0.6247503	46.0309	52.3219	720.5952
50	-10880.81	-10886.07	5.263174	0.289932	0.570027	1.04833	0.07923438	0.5861809	0.001514521	0.000166335	0.000800632	0.000673108	0.00222701	0.00172407	0.00757217	0.0010197	0.00099065	0.000663072	0.000844158	0.000664373	0.00249562	0.00129157	0.00124097	0.00111572	0.000922636	0.00276194	0.00128066	0.00113783	0.000687158	0.0012014	0.00183868	0.002012578	0.8342612	0.567496	0.096239	0.336265	1.70249	0.288717	1.00879	0.000796078	0.00383183	0.0032215	0.0106585	0.00825138	0.0362404	0.00488028	0.00474125	0.00317346	0.00404014	0.00317969	0.0119441	0.00618145	0.00593928	0.00533982	0.00441574	0.0132186	0.00612924	0.00544565	0.00328874	0.0057499	0.00879994	0.007248495	-4.926961	6.706839	0.560511	0.836002	1.07964	1.52385	0.5069465	1	96.54207	9.494684e-05	0.8648295	36.3331	52.3219	620.3651
60	-10873.02	-10879.33	6.309681	0.235352	0.513339	1.0308	0.09055174	0.1108994	0.001786516	0.004382	0.000529199	0.000416722	0.00233489	0.0019413	0.00649261	0.00120667	0.0010352	0.000888561	0.000820379	0.000930298	0.00282378	0.0018881	0.000455703	0.000779248	0.00357049	0.00248107	0.00140282	0.00107922	0.000386409	0.00197186	0.00148681	0.001682867	0.6297918	0.577038	0.102781	0.320181	1.73112	0.308343	0.960542	0.0209665	0.00253205	0.00199389	0.0111717	0.00928853	0.0310652	0.00577353	0.00495313	0.00425149	0.00392526	0.00445119	0.0135109	0.00903398	0.0021804	0.00372846	0.0170837	0.0118712	0.00671204	0.00516374	0.00184885	0.00943476	0.00711391	0.008547932	-4.762066	0.6416547	0.0617974	0.33465	0.901168	2.70238	0.0203477	1	88.94103	6.749684e-05	0.1834789	47.1866	52.3219	580.0925
70	-10871.54	-10881.7	10.1614	0.235013	0.528083	0.801255	0.08644892	0.1680625	0.001495154	0.00137956	0.00103228	0.000377928	0.00203022	0.0019413	0.00669459	0.00118876	0.00094724	0.000738834	0.000784545	0.000942297	0.00174239	0.000753352	0.000994994	0.00238145	0.00203984	0.00264931	0.000941549	0.000562387	0.000350904	0.0011327	0.00128696	0.001941407	0.7543433	0.542913	0.115506	0.341582	1.62874	0.346517	1.02475	0.01396	0.0104458	0.00382432	0.0205441	0.0196443	0.0677436	0.0120292	0.00958527	0.00747638	0.00793894	0.00953525	0.0176315	0.00762329	0.0100685	0.0240983	0.0206415	0.0268088	0.00952768	0.00569089	0.00355085	0.0114619	0.013023	0.01512971	-4.191095	1.407458	0.210666	0.572391	1.04449	2.17245	0.08161356	0	90.14642	8.106787e-05	0.4856144	46.4115	52.3219	594.9126
80	-10873.03	-10877.33	4.305	0.206784	0.455109	0.875665	0.07117121	0.4407947	0.001836291	0.00144451	0.00152856	0.000452844	0.0021008	0.00214212	0.00725882	0.00105513	0.00142671	0.000737798	0.0013189	0.00114187	0.00737168	0.00104712	0.000302208	0.00217239	0.00066058	0.00315462	0.000622421	0.000956178	0.0013518	0.000980601	0.00117075	0.00242233	0.8571766	0.629198	0.085233	0.285569	1.88759	0.255699	0.856707	0.00709316	0.00750588	0.00222366	0.0103159	0.0105187	0.0356439	0.00518114	0.00700577	0.00362291	0.00647635	0.0056071	0.0361981	0.00514183	0.00148397	0.0106674	0.00324374	0.0154906	0.00305636	0.00469525	0.00663793	0.00481517	0.0057489	0.009016986	-4.708645	5.421551	0.518697	0.813407	1.0825	1.5854	0.3696235	0	90.22286	2.593638e-05	0.8385389	46.4115	52.3943	641.6915
90	-10877.8	-10885.2	7.401829	0.251797	0.89457	0.98803	0.0714638	0.2387922	0.00134869	0.000841248	0.000782386	0.000381809	0.0021008	0.0023197	0.00583676	0.00104482	0.00104242	0.000911652	0.00093173	0.00106547	0.0024929	0.00106174	0.000520048	0.000611884	0.000196453	0.00367357	0.000611327	0.00117091	0.000472076	0.000980601	0.000620854	0.002060799	0.8353718	0.644486	0.0913775	0.264137	1.93346	0.274133	0.79241	0.00180906	0.00168248	0.00082106	0.00451767	0.00498838	0.0125516	0.00224683	0.00224168	0.00196046	0.00200364	0.00229125	0.00536085	0.00228323	0.00111834	0.00131582	0.000422463	0.00789982	0.00131463	0.00251798	0.00101518	0.00210873	0.00133511	0.002900286	-5.842946	1.262239	0.186151	0.54352	1.03277	2.23756	0.1673284	0	98.13433	6.497159e-05	0.7007281	36.5193	52.1323	711.6927
